timestamp	id	a_A	a_B	a_C	a_D	a_E	b_A	b_B	b_C	c_A	c_B	c_C	d
2026-08-14T14:42:31Z	1	omis	20K+ searches	trending_up	Active	17h ago	20K+	arrow_upward	1,000%	17 hours ago	trending_up	Active	omis tűzomis tűzSearch termquery_statsExplore; horvatorszag tuzhorvatorszag tuzSearch termquery_statsExplore; horvátország tűzhorvátország tűzSearch termquery_statsExplore; + 5 more
2026-08-14T14:42:31Z	2	prichard colon	10K+ searches	trending_up	Active	20h ago	10K+	arrow_upward	1,000%	20 hours ago	trending_up	Active	prichard colónprichard colónSearch termquery_statsExplore; terrel williamsterrel williamsSearch termquery_statsExplore; richard colonrichard colonSearch termquery_statsExplore; + 1 more
2026-08-14T14:42:31Z	3	december 24	2K+ searches	trending_up	Active	2h ago	2K+	arrow_upward	1,000%	2 hours ago	trending_up	Active	december 24.december 24.Search termquery_statsExplore
2026-08-14T14:42:31Z	4	ruszin szendi romulusz	5K+ searches	trending_up	Active	6h ago	5K+	arrow_upward	1,000%	6 hours ago	trending_up	Active	ruszin-szendi romuluszruszin-szendi romuluszSearch termquery_statsExplore
2026-08-14T14:42:31Z	5	politika	2K+ searches	trending_up	Active	4h ago	2K+	arrow_upward	1,000%	4 hours ago	trending_up	Active	
2026-08-14T14:42:31Z	6	orban anita	2K+ searches	trending_up	Active	5h ago	2K+	arrow_upward	1,000%	5 hours ago	trending_up	Active	orbán anitaorbán anitaSearch termquery_statsExplore
2026-08-14T14:42:31Z	7	nadir benbuali	5K+ searches	trending_up	Active	11h ago	5K+	arrow_upward	1,000%	11 hours ago	trending_up	Active	
2026-08-14T14:42:31Z	8	sam altman	2K+ searches	trending_up	Active	20h ago	2K+	arrow_upward	1,000%	20 hours ago	trending_up	Active	
2026-08-14T14:42:31Z	9	gulyás márton	2K+ searches	trending_up	Active	9h ago	2K+	arrow_upward	1,000%	9 hours ago	trending_up	Active	
2026-08-14T14:42:31Z	10	szervét tibor	2K+ searches	trending_up	Active	8h ago	2K+	arrow_upward	1,000%	8 hours ago	trending_up	Active	stefanovics angélastefanovics angélaSearch termquery_statsExplore
2026-08-14T14:42:31Z	11	frakció	2K+ searches	trending_up	Active	17h ago	2K+	arrow_upward	1,000%	17 hours ago	trending_up	Active	
